speed
8.81
8.41
8.41
8.45
8.37
8.33
8.63
8.25
7.88
7.98
8.05
7.78
7.69
7.52
7.44
7.4
7.48
7.77
7.87
7.87
7.64
7.48
7.74
8.06
7.76
7.83
8.25
8.22
7.8
7.67
7.87
7.71
7.77
7.65
7.65
7.52
7.36
7.22
7.17
7.38
7.53
7.77
8.05
8.28
9.07
9.28
9.37
9.29
9.05
8.99
8.72
8.97
8.99
8.85
8.67
8.56
8.23
8.07
7.87
7.42
7.85
7.22
7.47
7.29
6.99
6.98
6.89
7.07
6.98
6.95
6.97
6.98
7.17
6.87
6.83
6.39
6.53
7.43
6.61
6.85
7.37
7.19
7.51
6.94
7.97
8.03
8.23
8.29
8.15
8.83
8.51
8.43
8.68
8.75
8.77
8.67
8.88
8.8
8.75
9.29
9.04
9.47
9.5
9.41
9.63
9.46
9.19
9.17
8.69
8.75
7.95
7.65
8.11
8.26
7.92
7.97
7.57
7.32
7.39
7.69
7.63
7.4
7.54
7.51
7.47
7.42
7.62
7.34
7.03
7.11
6.9
6.69
6.41
6.49
6.51
6.53
6.49
6.18
6.25
6.27
6.09
5.85
5.53
5.59
