speed
8.03
7.85
7.48
7.28
7.59
8.00
8.23
8.25
7.70
7.78
7.74
8.13
8.27
8.08
8.25
8.17
7.91
7.62
7.87
7.95
7.73
7.82
7.77
7.46
7.92
8.12
8.27
8.57
8.83
8.81
8.53
8.47
8.42
8.13
8.08
8.01
8.02
7.95
8.08
8.25
8.19
8.19
8.08
8.54
9.14
9.43
9.46
9.18
9.11
8.91
9.13
9.22
8.93
9.00
8.77
8.77
8.83
8.41
8.76
8.36
8.89
8.65
8.67
8.69
8.72
8.85
8.33
7.77
8.37
8.86
8.28
8.74
8.04
7.89
7.87
8.22
7.77
8.09
8.41
7.93
8.62
8.15
8.47
8.76
8.21
8.52
8.55
9.07
9.14
8.95
9.23
9.02
9.52
9.41
9.39
9.77
9.53
9.37
9.69
9.78
9.93
9.98
10.07
9.57
9.65
9.74
9.45
9.80
9.79
9.67
9.71
9.45
8.97
8.77
8.51
8.53
8.75
9.13
9.15
8.95
8.69
8.65
8.76
8.78
8.33
8.10
8.05
8.47
8.85
9.15
9.29
9.67
9.52
9.67
9.89
9.98
10.06
10.07
10.09
10.11
10.00
9.78
9.37
8.85
